Seed,Cigr_CV,Temperature,Wind speed,SoilHumi,K,P
5.3,1.577229124,36.0,6,25.3,10,5
8.6,0.426386386,35.2,3,14.0,0,0
8.0,1.186132339,32.9,3,26.4,2,1
4.2,2.006939935,37.0,1,21.0,77,38
7.4,2.170553372,31.8,3,19.8,2,1
8.9,0.721772614,34.4,8,14.3,0,0
5.3,1.577229124,36.0,6,25.3,10,5
7.4,2.600172311,34.1,0,17.5,4,2
3.4,0.375433828,34.7,6,13.6,0,0
6.8,1.251983877,31.9,3,20.7,0,0
6.8,1.251983877,31.9,3,20.7,0,0
4.0,0.39808795,34.7,1,15.0,0,0
4.0,1.298049195,35.9,1,23.0,8,4
5.3,0.780136758,36.1,6,26.5,2,1
4.0,0.39808795,34.7,1,15.0,0,0
14.2,3.024048093,31.1,11,25.0,3,1
3.6,0.524997611,34.6,6,12.4,0,0
8.4,1.179360441,31.2,6,19.4,3,1
4.0,0.39808795,34.7,1,15.0,0,0
3.3,0.997933384,37.1,1,24.5,2,1
12.1,2.120815879,35.3,16,14.0,0,0
5.1,1.632733963,36.1,12,25.8,3,1
8.4,1.179360441,31.2,6,19.4,3,1
8.9,0.721772614,34.4,8,14.3,0,0
10.1,1.699658928,35.2,4,22.0,27,13
7.7,1.270831407,32.3,6,24.0,1,0
3.6,0.524997611,34.6,6,12.4,0,0
3.3,0.997933384,37.1,1,24.5,2,1
5.0,0.857897642,34.7,6,13.0,0,0
1.4,0.407520313,34.9,9,13.6,0,0
4.3,1.025376213,36.6,1,25.0,4,2
4.4,0.40373531,35.1,0,14.8,0,0
4.6,0.481923271,33.2,0,10.3,0,0
8.0,1.186132339,32.9,3,26.4,2,1
3.3,0.997933384,37.1,1,24.5,2,1
14.2,3.024048093,31.1,11,25.0,3,1
5.0,1.774476731,36.1,1,21.0,46,21
10.0,1.790221955,31.5,8,19.8,2,1
8.9,0.721772614,34.4,8,14.3,0,0
9.2,1.654926851,32.1,9,15.9,7,3
5.3,1.577229124,36.0,6,25.3,10,5
8.3,1.524960808,34.0,3,12.0,0,0
5.4,1.010502046,31.2,8,6.6,6,3
5.0,0.857897642,34.7,6,13.0,0,0
6.0,1.400664091,32.6,3,18.6,0,0
9.2,1.654926851,32.1,9,15.9,7,3
10.1,0.569389343,34.8,8,15.0,0,0
8.4,1.179360441,31.2,6,19.4,3,1
6.2,1.957662882,34.2,11,13.5,0,0
4.4,0.40373531,35.1,0,14.8,0,0
10.0,1.790221955,31.5,8,19.8,2,1
3.3,0.997933384,37.1,1,24.5,2,1
7.4,2.170553372,31.8,3,19.8,2,1
12.0,4.148792742,35.7,6,25.0,35,17
6.0,1.400664091,32.6,3,18.6,0,0
8.0,0.60760186,33.6,0,15.8,2,1
4.0,1.298049195,35.9,1,23.0,8,4
5.3,0.780136758,36.1,6,26.5,2,1
5.4,1.010502046,31.2,8,6.6,6,3
8.4,1.179360441,31.2,6,19.4,3,1
9.4,3.055578002,31.5,8,24.0,0,0
4.3,1.025376213,36.6,1,25.0,4,2
5.4,1.010502046,31.2,8,6.6,6,3
8.6,0.426386386,35.2,3,14.0,0,0
8.3,1.524960808,34.0,3,12.0,0,0
10.1,0.569389343,34.8,8,15.0,0,0
3.3,0.997933384,37.1,1,24.5,2,1
9.0,5.574714193,35.5,3,23.0,17,8
7.2,0.519975267,32.0,9,23.8,1,0
4.0,1.298049195,35.9,1,23.0,8,4
6.0,1.400664091,32.6,3,18.6,0,0
13.6,2.908666451,35.1,1,27.0,7,3
8.0,1.186132339,32.9,3,26.4,2,1
7.4,2.170553372,31.8,3,19.8,2,1
6.0,1.400664091,32.6,3,18.6,0,0
3.4,0.375433828,34.7,6,13.6,0,0
5.3,0.780136758,36.1,6,26.5,2,1
8.9,0.721772614,34.4,8,14.3,0,0
4.6,0.481923271,33.2,0,10.3,0,0
9.6,3.91217016,36.9,3,24.6,3,1
8.3,1.524960808,34.0,3,12.0,0,0
4.0,0.39808795,34.7,1,15.0,0,0
10.1,0.569389343,34.8,8,15.0,0,0
5.0,0.857897642,34.7,6,13.0,0,0
9.6,3.91217016,36.9,3,24.6,3,1
2.2,0.685523306,36.2,0,26.5,5,2
8.6,0.426386386,35.2,3,14.0,0,0
8.0,1.186132339,32.9,3,26.4,2,1
9.6,3.91217016,36.9,3,24.6,3,1
7.0,1.279404868,31.2,9,16.8,2,1
5.0,0.857897642,34.7,6,13.0,0,0
10.0,1.790221955,31.5,8,19.8,2,1
9.2,1.654926851,32.1,9,15.9,7,3
4.0,0.39808795,34.7,1,15.0,0,0
7.0,1.279404868,31.2,9,16.8,2,1
3.3,0.997933384,37.1,1,24.5,2,1
7.4,2.170553372,31.8,3,19.8,2,1
4.0,0.39808795,34.7,1,15.0,0,0
6.8,1.251983877,31.9,3,20.7,0,0
8.0,0.60760186,33.6,0,15.8,2,1
7.4,2.170553372,31.8,3,19.8,2,1
12.0,4.148792742,35.7,6,25.0,35,17
12.0,4.148792742,35.7,6,25.0,35,17
10.1,1.699658928,35.2,4,22.0,27,13
11.3,2.200212671,31.5,8,16.9,1,0
4.3,1.025376213,36.6,1,25.0,4,2
5.3,1.577229124,36.0,6,25.3,10,5
2.2,0.685523306,36.2,0,26.5,5,2
4.4,0.40373531,35.1,0,14.8,0,0
10.0,1.790221955,31.5,8,19.8,2,1
9.2,1.654926851,32.1,9,15.9,7,3
7.4,2.170553372,31.8,3,19.8,2,1
7.7,1.270831407,32.3,6,24.0,1,0
9.0,5.574714193,35.5,3,23.0,17,8
10.1,1.699658928,35.2,4,22.0,27,13
3.4,0.375433828,34.7,6,13.6,0,0
4.0,0.39808795,34.7,1,15.0,0,0
5.0,1.774476731,36.1,1,21.0,46,21
12.0,4.148792742,35.7,6,25.0,35,17
